ngal    M     phi    Err
   1 -24.88 1.04e-08 1.04e-08
   1 -24.62 2.57e-08 2.57e-08
   1 -24.38 8.81e-08 8.81e-08
   5 -23.88 2.73e-07 1.64e-07
  20 -23.62 2.59e-06 1.41e-06
  44 -23.38 1.84e-06 2.08e-07
 108 -23.12 5.76e-06 1.04e-06
 255 -22.88 1.30e-05 1.33e-06
 598 -22.62 3.54e-05 2.70e-06
1256 -22.38 8.35e-05 4.16e-06
2379 -22.12 1.81e-04 8.28e-06
3919 -21.88 3.50e-04 1.33e-05
5923 -21.62 6.32e-04 1.97e-05
7845 -21.38 1.01e-03 2.12e-05
9100 -21.12 1.46e-03 3.71e-05
9681 -20.88 1.93e-03 4.54e-05
9631 -20.62 2.42e-03 7.42e-05
8614 -20.38 2.82e-03 1.09e-04
7074 -20.12 3.15e-03 1.46e-04
5683 -19.88 3.50e-03 1.53e-04
4690 -19.62 3.58e-03 1.55e-04
3472 -19.38 3.44e-03 2.44e-04
2484 -19.12 3.26e-03 2.53e-04
1871 -18.88 3.31e-03 2.89e-04
1251 -18.62 3.09e-03 3.87e-04
 815 -18.38 2.69e-03 3.40e-04
 538 -18.12 2.62e-03 3.80e-04
 329 -17.88 2.16e-03 2.68e-04
 257 -17.62 2.43e-03 4.48e-04
 191 -17.38 2.74e-03 4.14e-04
 116 -17.12 2.09e-03 3.18e-04
  79 -16.88 2.20e-03 4.07e-04
  64 -16.62 3.11e-03 9.35e-04
  48 -16.38 2.68e-03 4.21e-04
  34 -16.12 3.48e-03 8.89e-04
  26 -15.88 4.64e-03 1.97e-03
  14 -15.62 2.11e-03 6.13e-04
  19 -15.38 5.87e-03 2.21e-03
  12 -15.12 4.26e-03 1.73e-03
  10 -14.88 3.64e-03 1.21e-03
   7 -14.62 8.29e-03 5.08e-03
   2 -14.38 2.28e-03 2.28e-03
   2 -14.12 2.32e-03 2.32e-03
   3 -13.88 5.58e-03 2.92e-03
   3 -13.62 7.09e-03 4.62e-03
   2 -13.38 3.20e-03 2.71e-03
   4 -13.12 1.07e-02 5.65e-03
   1 -12.88 9.83e-04 9.83e-04
   1 -12.62 1.36e-02 1.36e-02
